,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress
45,320.0,central_heating,False,True,32.13564239968631,1140.0,1980.0,115671495,True,False,820.0,77.0,first_time_use,negotiable,True,ground_floor,3.0,0.0,3.0,False,Staaken_Spandau,105.37983927253362,1,"Metropolitan Park 63, 13591 Berlin, Germany"
61,79.0,central_heating,False,False,40.0,955.0,1918.0,113359456,False,False,808.0,62.63,refurbished,negotiable,False,ground_floor,2.0,0.0,3.0,False,Weißensee_Weißensee,68.0,0,"Börnestraße 11, 13086 Berlin, Germany"
77,150.0,floor_heating,True,True,40.0,1300.0,2019.0,113704695,True,True,1150.0,46.4,first_time_use,no,True,apartment,2.0,3.0,5.0,False,Mitte_Mitte,70.25322618168907,1,"Stallschreiberstraße 27, 10179 Berlin, Germany"
86,228.78,floor_heating,False,True,32.13564239968631,1428.78,2017.0,107589685,True,True,1200.0,67.0,mint_condition,negotiable,True,apartment,2.5,6.0,7.0,False,Kreuzberg_Kreuzberg,87.81653272711134,0,"Hallesche Straße 5a, 10963 Berlin, Germany"
87,147.08,district_heating,True,True,40.0,1559.05,2019.0,114773727,True,True,1338.43,73.54,first_time_use,negotiable,True,ground_floor,2.0,0.0,6.0,False,Tiergarten_Tiergarten,73.54,0,"Heidestraße 19, 10557 Berlin, Germany"
126,232.0,combined_heat_and_power_plant,False,True,40.0,1280.0,2014.0,113764604,True,True,1048.0,83.14,mint_condition,no,False,apartment,3.0,1.0,2.0,False,Grünau_Köpenick,120.0,1,"Waldkiefernring 5, 12527 Berlin, Germany"
142,221.11,district_heating,False,True,40.0,656.72,1980.0,113829068,False,False,435.61,62.23,modernized,no,True,apartment,3.0,16.0,4.0,False,Marzahn_Marzahn,74.62,0,"Bärensteinstr. 42, 12685 Berlin, Germany"
155,105.0,gas_heating,False,True,40.0,1155.0,1870.0,84867476,True,True,910.0,105.92,refurbished,negotiable,False,maisonette,4.0,1.0,2.0,True,Köpenick_Köpenick,140.0,0,"Grünauer Str. 22, 12557 Berlin, Germany"
187,162.0,district_heating,False,True,40.0,861.0,1984.0,113297201,True,True,699.0,71.2,modernized,no,True,apartment,3.0,4.0,6.0,False,Neu_Hohenschönhausen_Hohenschönhausen,80.0,0,"Falkenberger Chaussee 130, 13057 Berlin, Germany"
194,67.15,central_heating,False,False,40.0,415.51,1988.0,112185558,False,True,314.78,41.97,first_time_use_after_refurbishment,negotiable,False,apartment,1.0,2.0,5.0,False,Hellersdorf_Hellersdorf,33.58,0,"Luckenwalder Str. 94, 12629 Berlin, Germany"
200,200.0,district_heating,False,True,40.0,2565.0,1910.0,115200338,True,True,2225.0,165.68,refurbished,negotiable,True,roof_storey,4.0,6.0,6.0,False,Prenzlauer_Berg_Prenzlauer_Berg,140.0,0,"Kastanienallee 87, 10435 Berlin, Germany"
383,161.65,floor_heating,False,True,40.0,1893.09,2017.0,110664680,True,True,1640.6,97.9,first_time_use,negotiable,True,apartment,3.0,4.0,6.0,False,Mitte_Mitte,83.29,0,"Chausseestraße 41 c, 10115 Berlin, Germany"
464,291.28,central_heating,False,False,40.0,1747.63,1900.0,115218458,True,False,1456.35,97.09,refurbished,no,False,apartment,3.0,2.0,5.0,False,Prenzlauer_Berg_Prenzlauer_Berg,145.64,0,"Schönhauser Allee 68, 10437 Berlin, Germany"
478,115.75,self_contained_central_heating,False,False,2.4,618.21,1927.0,111377979,False,True,502.46,62.75,modernized,negotiable,False,raised_ground_floor,2.5,0.0,4.0,True,Mariendorf_Tempelhof,87.81653272711134,0,"Gersdorfstr. 67, 12105 Berlin, Germany"
510,55.0,central_heating,False,False,40.0,399.84,1900.0,115232156,False,False,309.84,35.0,well_kept,negotiable,False,apartment,1.0,1.0,6.0,False,Neukölln_Neukölln,35.0,0,"Weserstr. 204, 12047 Berlin, Germany"
522,319.74,central_heating,False,True,32.13564239968631,2018.38,1980.0,115442980,False,False,1698.64,99.92,refurbished,yes,False,maisonette,3.0,5.0,5.0,False,Prenzlauer_Berg_Prenzlauer_Berg,149.88,0,"Oderberger Straße 51/ 52, 10435 Berlin, Germany"
527,100.0,district_heating,False,True,40.0,1000.0,1975.0,111391200,True,True,845.0,41.58,first_time_use,no,False,apartment,2.0,6.0,7.0,False,Tiergarten_Tiergarten,55.0,1,"Spenerstraße 36, 10557 Berlin, Germany"
556,170.0,central_heating,False,False,40.0,1567.7,1910.0,115169848,False,False,1247.7,145.0,well_kept,negotiable,False,ground_floor,4.5,0.0,4.0,False,Schmargendorf_Wilmersdorf,150.0,0,"Hohenzollerndamm 53, 14199 Berlin, Germany"
570,151.0,central_heating,False,False,10.0,1399.0,1980.0,110091597,True,False,1189.0,82.0,refurbished,negotiable,False,apartment,3.0,2.0,5.0,False,Wedding_Wedding,59.0,0,"Burgsdorfstraße 5, 13353 Berlin, Germany"
582,50.0,central_heating,False,True,40.0,549.0,1997.0,113322564,True,False,449.0,47.0,well_kept,negotiable,False,apartment,1.0,2.0,4.0,False,Köpenick_Köpenick,50.0,0,"Salvador-Allende-Str. 76D, 12559 Berlin, Germany"
594,209.65,floor_heating,True,True,32.13564239968631,1289.65,2018.0,106922848,True,True,1080.0,59.9,first_time_use,no,True,terraced_flat,2.0,11.0,14.0,True,Tiergarten_Tiergarten,70.25322618168907,0,"Gabriele-Tergit-Promenade 59,9 21, 10963 Berlin, Germany"
