Unnamed_0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,bezirk,bezirk_group,flat_group,condition_group
653,205,district_heating,0,0,40,1209,1920,115446359,0,0,1049,81,refurbished,3,0,ground_floor,2.5,3,5,0,Charlottenburg_Charlottenburg,87.8,0,"Kaiserdamm 4, 14057 Berlin, Germany",Charlottenburg,West,Ground Floor,Renovated
2841,78,central_heating,0,0,40,529,1920,105798745,0,0,451,35.27,modernized,3,0,apartment,1,2,7,0,Charlottenburg_Charlottenburg,26,0,"Pascalstr. 3, 10587 Berlin, Germany",Charlottenburg,West,Apartment,Renovated
1007,194.63,district_heating,0,1,40,679.45,1920,115688647,0,0,484.82,58.98,well_kept,2,0,apartment,2,3,2,0,Spandau_Spandau,88.9,0,"Betckestr. 23, 13595 Berlin, Germany",Spandau,West,Apartment,Well-maintained
4504,100,central_heating,0,1,40,999,1920,110815256,0,0,825,67.92,refurbished,2,0,ground_floor,3,0,5,0,Charlottenburg_Charlottenburg,74,0,"Heerstraße 9, 14052 Berlin, Germany",Charlottenburg,West,Ground Floor,Renovated
4826,135,central_heating,0,0,40,1223,1920,115199030,0,0,1013,81.05,first_time_use,3,0,ground_floor,2,0,5,0,Friedrichshain_Friedrichshain,75,0,"Rigaerstr. 93, 10247 Berlin, Germany",Friedrichshain,Central,Ground Floor,New
70,70,central_heating,0,1,40,700,1920,110766545,1,1,570,57,negotiable,3,0,apartment,2,3,4,0,Johannisthal_Treptow,60,0,"Sterndamm 100, 12487 Berlin, Germany",Treptow,East,Apartment,Well-maintained
1404,0,self_contained_central_heating,0,1,40,1230,1920,115459615,1,1,1230,43,fully_renovated,3,0,apartment,1,4,4,0,Friedrichshain_Friedrichshain,0,0,"Friedenstr. 57, 10249 Berlin, Germany",Friedrichshain,Central,Apartment,Renovated
8830,0,self_contained_central_heating,0,1,40,1200,1920,106841552,1,1,1200,44,fully_renovated,3,0,apartment,1,4,4,0,Friedrichshain_Friedrichshain,0,0,"Friedenstr. 57, 10249 Berlin, Germany",Friedrichshain,Central,Apartment,Renovated
4281,387.54,central_heating,0,1,40,3245,1920,107329785,1,1,2857.46,136,first_time_use,3,1,roof_storey,4,5,5,0,Charlottenburg_Charlottenburg,204,0,"WIELANDSTR. 37, 10629 Berlin, Germany",Charlottenburg,West,Roof Storey,New
6453,348.52,central_heating,0,1,40,2990,1920,107329688,1,1,2641.48,123,first_time_use,3,1,roof_storey,3,5,5,0,Charlottenburg_Charlottenburg,183.4,0,"WIELANDSTR. 37, 10629 Berlin, Germany",Charlottenburg,West,Roof Storey,New
4867,75,self_contained_central_heating,0,1,10,944,1920,111406786,0,0,869,56.09,fully_renovated,2,0,apartment,2,1,5,0,Tiergarten_Tiergarten,70.3,0,"Waldstraße 55, 10551 Berlin, Germany",Tiergarten,Central,Apartment,Renovated
5537,80,self_contained_central_heating,0,1,40,1025,1920,115661119,0,0,945,59.1,fully_renovated,2,0,apartment,2,2,5,0,Tiergarten_Tiergarten,70.3,0,"Waldstraße 55, 10551 Berlin, Germany",Tiergarten,Central,Apartment,Renovated
3882,90,self_contained_central_heating,0,1,40,980,1920,113342073,0,0,825,56.97,first_time_use,2,0,apartment,2,1,5,0,Lichtenberg_Lichtenberg,65,0,"Archibaldweg 22, 10317 Berlin, Germany",Lichtenberg,East,Apartment,New
631,150,central_heating,0,1,10,990,1920,66918671,1,1,840,70,refurbished,3,0,apartment,2,1,3,1,Niederschöneweide_Treptow,70.3,0,"Britzer Str. 25, 12439 Berlin, Germany",Treptow,East,Apartment,Renovated
4618,208,central_heating,0,1,2.4,1060,1920,74512728,1,1,852,70.98,modernized,3,0,apartment,2.5,3,5,0,Neukölln_Neukölln,94,0,"Finowstraße 15, 12045 Berlin, Germany",Neukölln,South,Apartment,Renovated
5696,83,central_heating,0,0,40,619,1920,92667673,0,0,536,37.8,modernized,3,0,ground_floor,1,0,3,0,Schöneberg_Schöneberg,26,0,"Leberstraße 37, 10829 Berlin, Germany",Schöneberg,Central,Ground Floor,Renovated
7439,60.79,electric_heating,0,0,10,405,1920,103659410,0,0,344.21,37.4,first_time_use_after_refurbishment,2,0,apartment,1,2,5,0,Neukölln_Neukölln,35.1,0,"Neckarstrasse 3, 12053 Berlin, Germany",Neukölln,South,Apartment,New
