Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
0,320.0,central_heating,0,1,32.1,1140.0,1980.0,115671495,1,1,820.0,77.0,first_time_use,3,1,ground_floor,3.0,0.0,3.0,0,Staaken_Spandau,105.4,1,"Metropolitan Park 63, 13591 Berlin, Germany",below_average
1,79.0,central_heating,0,0,40.0,955.0,1918.0,113359456,0,0,808.0,62.63,refurbished,3,0,ground_floor,2.0,0.0,3.0,0,Weißensee_Weißensee,68.0,0,"Börnestraße 11, 13086 Berlin, Germany",below_average
2,150.0,floor_heating,1,1,40.0,1300.0,2019.0,113704695,1,1,1150.0,46.4,first_time_use,2,1,apartment,2.0,3.0,5.0,0,Mitte_Mitte,70.3,1,"Stallschreiberstraße 27, 10179 Berlin, Germany",above_average
3,228.78,floor_heating,0,1,32.1,1428.78,2017.0,107589685,1,1,1200.0,67.0,mint_condition,3,1,apartment,2.5,6.0,7.0,0,Kreuzberg_Kreuzberg,87.8,0,"Hallesche Straße 5a, 10963 Berlin, Germany",above_average
4,147.08,district_heating,1,1,40.0,1559.05,2019.0,114773727,1,1,1338.43,73.54,first_time_use,3,1,ground_floor,2.0,0.0,6.0,0,Tiergarten_Tiergarten,73.5,0,"Heidestraße 19, 10557 Berlin, Germany",above_average
5,232.0,combined_heat_and_power_plant,0,1,40.0,1280.0,2014.0,113764604,1,1,1048.0,83.14,mint_condition,2,0,apartment,3.0,1.0,2.0,0,Grünau_Köpenick,120.0,1,"Waldkiefernring 5, 12527 Berlin, Germany",below_average
6,221.11,district_heating,0,1,40.0,656.72,1980.0,113829068,0,0,435.61,62.23,modernized,2,1,apartment,3.0,16.0,6.0,0,Marzahn_Marzahn,74.6,0,"Bärensteinstr. 42, 12685 Berlin, Germany",below_average
7,105.0,gas_heating,0,1,40.0,1155.0,1870.0,84867476,1,1,910.0,105.92,refurbished,3,0,maisonette,4.0,1.0,2.0,1,Köpenick_Köpenick,140.0,0,"Grünauer Str. 22, 12557 Berlin, Germany",below_average
8,162.0,district_heating,0,1,40.0,861.0,1984.0,113297201,1,1,699.0,71.2,modernized,2,1,apartment,3.0,4.0,5.0,0,Neu_Hohenschönhausen_Hohenschönhausen,80.0,0,"Falkenberger Chaussee 130, 13057 Berlin, Germany",below_average
9,67.15,central_heating,0,0,40.0,415.51,1988.0,112185558,0,0,314.78,41.97,first_time_use_after_refurbishment,3,0,apartment,1.0,2.0,5.0,0,Hellersdorf_Hellersdorf,33.6,0,"Luckenwalder Str. 94, 12629 Berlin, Germany",below_average
10,200.0,district_heating,0,1,40.0,2565.0,1910.0,115200338,1,1,2225.0,165.68,refurbished,3,1,roof_storey,4.0,6.0,6.0,0,Prenzlauer_Berg_Prenzlauer_Berg,140.0,0,"Kastanienallee 87, 10435 Berlin, Germany",above_average
