noRooms,totalRent,livingSpace,balcony
3.0,1140.0,77.0,True
2.0,955.0,62.63,False
2.0,1300.0,46.4,True
2.5,1428.78,67.0,True
2.0,1559.05,73.54,True
3.0,1280.0,83.14,True
3.0,656.72,62.23,True
4.0,1155.0,105.92,True
3.0,861.0,71.2,True
1.0,415.51,41.97,False
4.0,2565.0,165.68,True
3.0,1893.09,97.9,True
3.0,1747.63,97.09,False
2.5,618.21,62.75,False
1.0,399.84,35.0,False
3.0,2018.38,99.92,True
2.0,1000.0,41.58,True
4.5,1567.7,145.0,False
3.0,1399.0,82.0,False
1.0,549.0,47.0,True
2.0,1289.65,59.9,True
2.0,989.0,69.75,True
3.0,1299.0,68.06,False
4.0,2500.0,220.0,True
1.5,604.0,40.0,False
2.0,1406.68,61.16,True
3.0,822.97,68.75,True
2.0,1300.0,49.39,True
1.0,545.0,36.08,False
2.0,1200.0,53.0,True
2.0,899.0,46.34,True
2.0,1095.0,93.0,False
2.0,1710.1,95.68,True
3.0,1190.0,83.0,True
2.0,890.0,49.0,False
5.0,1688.94,120.44,True
1.0,478.74,43.88,True
2.0,1200.0,59.54,True
1.0,690.0,11.0,True
2.0,1783.08,68.58,False
1.5,685.97,54.07,True
2.0,475.2,54.0,True
2.0,627.13,57.33,True
2.0,489.2,51.0,True
2.0,700.0,40.34,False
3.0,1734.0,81.5,False
1.0,660.0,19.5,True
2.0,1350.0,62.0,True
2.0,750.0,78.88,False
2.0,714.0,59.95,True
7.0,2244.62,160.33,True
1.0,620.0,38.0,True
4.0,3362.41,164.0,False
4.0,2992.67,155.12,True
3.0,899.0,81.14,True
2.0,1100.0,57.95,True
4.0,2700.0,119.0,True
1.0,490.0,30.0,False
1.0,480.0,20.0,False
2.0,1190.0,58.3,True
1.0,526.0,35.49,True
1.0,700.0,30.44,False
1.0,559.0,29.6,False
3.0,1882.0,87.55,True
2.0,649.92,56.92,True
3.0,1270.0,96.47,True
2.0,1160.0,54.0,True
3.0,1000.0,80.86,False
5.0,7850.0,307.0,False
7.0,3704.0,247.0,True
2.0,700.0,57.0,True
3.0,1961.0,76.0,True
1.5,900.0,45.0,False
3.0,1594.0,103.55,True
2.0,660.0,61.85,False
2.0,1067.24,72.27,True
3.0,953.0,74.49,False
1.0,655.0,21.0,False
3.0,1543.16,92.94,True
3.0,1250.75,100.1,True
3.0,1601.0,84.72,True
2.0,1048.0,56.13,True
1.0,795.0,50.0,False
3.0,1560.0,103.0,True
3.0,1240.0,97.79,False
1.0,690.0,10.0,True
1.0,499.0,29.2,False
3.0,2050.0,109.0,True
1.5,576.58,46.02,False
2.0,699.0,63.0,True
2.0,510.0,62.0,True
2.0,892.0,70.34,True
3.0,2000.0,81.88,True
2.0,920.0,70.0,False
1.0,387.32161309084455,20.0,False
2.0,2150.0,92.0,True
2.0,643.54,55.39,True
2.0,729.0,48.0,False
4.0,794.74,81.59,True
2.0,977.2532261816892,52.52,True
2.0,1039.41,81.9,False
2.0,530.0,40.29,False
2.0,1441.19,58.23,True
2.0,873.4,56.0,True
2.5,950.0,68.0,True
2.0,1365.0,60.5,True
3.0,1060.0,77.0,True
2.0,623.91,58.77,True
5.0,3850.0,224.0,True
3.0,1018.84,96.5,True
1.0,693.45,30.15,True
2.0,1061.92,61.03,True
1.0,995.1266130908446,29.0,True
2.5,970.0,70.0,True
2.5,859.0,67.21,False
2.0,1350.0,40.0,True
3.0,1415.0,87.0,True
3.5,1132.84,105.16,True
2.0,900.0,43.06,True
2.0,1220.0,53.02,True
2.0,1400.0,70.0,True
3.0,732.84,69.4,True
1.0,571.77,47.0,False
3.0,1229.0,107.3,False
3.0,1989.0,93.0,False
3.0,1996.9,97.41,True
3.0,1845.0,82.75,True
3.0,594.0,68.82,True
4.0,1453.82,113.61,True
4.0,2544.58,108.05,True
2.0,1321.0,49.9,False
1.5,990.0,48.0,True
3.5,1471.96,94.0,True
1.0,817.15,63.54,False
3.0,1245.0,74.73,True
2.5,706.15,68.86,True
3.5,4135.29,143.54,True
3.0,1609.0,85.36,True
1.0,1850.0,109.0,False
1.0,687.0,57.5,True
2.0,799.0,64.0,False
2.0,856.0,52.0,True
1.0,544.0,37.0,False
1.0,999.0,42.0,True
2.0,942.0,71.98,True
3.0,1960.8,98.04,True
2.0,1150.0,54.95,True
2.0,994.0,75.0,False
3.0,5705.0,260.0,True
3.0,900.0,69.26,False
2.0,877.8932261816891,70.94,False
3.0,1958.69,112.31,True
2.0,1215.0,74.68,True
4.0,2080.0,107.89,True
2.0,1082.0,56.0,False
2.0,1290.0,51.0,True
2.0,605.55,56.44,True
4.0,5715.506452363378,151.4,True
1.0,430.0,33.0,True
4.0,1332.37,99.91,True
1.5,809.34,59.33,False
99.5,1970.8,3.0,True
3.0,720.99,74.29,True
4.0,2307.6,115.38,True
5.0,2638.4,131.92,True
2.0,1320.0,60.78,False
2.0,630.0,47.63,True
3.0,2619.0,138.96,True
2.0,869.0,59.43,True
1.0,628.93,32.5,False
2.0,798.0,55.05,True
2.0,683.7,60.19,True
2.0,1170.263226181689,30.0,False
1.0,900.0,54.17,False
2.0,1068.0,60.0,False
1.0,536.0,19.5,False
1.5,599.94,49.96,True
2.0,1410.0,80.0,False
3.0,1485.0,93.52,True
2.0,1390.0,40.0,True
3.0,988.06,71.93,False
2.0,1202.0,57.4,True
2.0,1290.0,64.0,True
4.0,3144.0,96.69,True
2.0,819.0,52.0,True
3.0,1500.0,72.93,False
1.0,758.88,29.12,False
1.5,682.65,44.05,True
2.0,890.0,67.6,True
1.0,500.0,18.2,False
4.0,3117.0,136.0,True
3.0,725.0,67.05,True
3.0,2031.52,96.97,True
1.0,647.0,23.37,False
1.0,941.68,49.48,True
2.0,1377.0,60.93,True
7.0,3500.0,262.0,True
2.0,972.13,68.46,False
1.5,694.0,42.49,False
2.0,932.48,66.83,True
3.0,1207.0,73.7,False
1.0,995.1266130908446,29.0,True
2.0,1775.0,89.44,True
2.5,803.16,63.0,True
2.0,1598.17,70.4,True
1.5,783.87,68.64,True
4.0,909.27,77.88,True
3.0,1134.0,76.76,False
2.0,1022.44,67.61,True
3.0,725.74,67.94,True
4.0,2312.0,115.6,True
2.0,852.0,52.0,False
2.0,883.0,56.0,True
1.0,689.0,38.89,True
2.0,1310.67,65.61,False
1.0,680.0,20.5,False
1.0,1125.1266130908446,25.0,True
3.0,1700.0,98.98,True
3.0,1271.62,87.88,True
3.0,1700.0,76.0,True
4.0,2065.06,97.87,True
2.0,1021.77,53.22,True
3.5,1640.0,95.0,True
4.5,1800.0,113.7,True
1.0,700.0,40.62,False
3.0,2244.0,151.58,True
2.0,808.0,56.11,True
4.0,1735.0,103.99,True
2.0,649.0,56.0,True
3.0,1057.0,88.2,False
3.0,930.0,78.5,True
2.0,1800.0,87.0,True
2.0,1475.0,52.0,True
2.0,845.0,54.0,False
